************************************************
*    Row   *     el.UZ *      el.E *         1 *
*      409 * -0.733705 * 239.85542 *         1 *
*      410 * 0.9482485 * 611.68579 *         1 *
*      411 * 0.4694677 * 557.22845 *         1 *
*      412 * 0.5096409 * 379.65444 *         1 *
*      413 * 0.8508208 * 570.51733 *         1 *
*      414 * 0.1237827 * 254.27874 *         1 *
*      415 * 0.8640401 * 469.42358 *         1 *
*      416 * -0.696591 * 149.30938 *         1 *
*      417 * 0.6886064 * 325.72900 *         1 *
*      418 * 0.7356933 * 397.42135 *         1 *
*      419 * -0.734715 * 323.05242 *         1 *
*      420 * 0.8711067 * 734.26812 *         1 *
*      421 * -0.620999 * 272.17962 *         1 *
*      422 * 0.9201143 * 281.54226 *         1 *
*      423 * 0.8650206 * 279.89733 *         1 *
*      424 * -0.126341 * 389.33804 *         1 *
*      425 * 0.6993038 * 194.51083 *         1 *
*      426 * 0.8379790 * 459.96060 *         1 *
*      427 * -0.936016 * 263.64621 *         1 *
*      428 * 0.5144433 * 420.80566 *         1 *
*      429 * 0.4195076 * 337.54034 *         1 *
*      430 * -0.694461 * 170.97728 *         1 *
*      431 * 0.4778069 * 232.60586 *         1 *
*      432 * 0.4851591 * 530.29888 *         1 *
*      433 * 0.7062873 * 407.37381 *         1 *
*      434 * 0.9897579 * 256.82531 *         1 *
*      435 * 0.9494368 * 252.02130 *         1 *
*      436 * 0.8524145 * 226.37928 *         1 *
*      437 * 0.9571580 * 246.37126 *         1 *
*      438 * 0.9879992 * 1049.4432 *         1 *
*      439 * -0.065536 * 320.48168 *         1 *
*      440 * 0.8826522 * 242.01193 *         1 *
*      441 * 0.8209470 * 360.94751 *         1 *
*      442 * 0.4117790 * 292.81271 *         1 *
*      443 * 0.5517168 * 539.25384 *         1 *
*      444 * 0.8295153 * 800.30963 *         1 *
*      445 * 0.7794274 * 319.18402 *         1 *
*      446 * -0.867060 * 202.89846 *         1 *
*      447 * 0.9182488 * 788.56555 *         1 *
*      448 * -0.056360 * 478.09985 *         1 *
*      449 * 0.7613264 * 229.39769 *         1 *
*      450 * -0.049699 * 260.89193 *         1 *
*      451 * 0.9519613 * 937.98516 *         1 *
*      452 * 0.9696674 * 228.20994 *         1 *
*      453 * -0.722064 * 186.70913 *         1 *
*      454 * 0.0716394 * 298.97357 *         1 *
*      455 * -0.023287 *  165.1492 *         1 *
*      456 * 0.4126324 * 511.42236 *         1 *
*      457 * 0.6551913 * 836.98638 *         1 *
*      458 * 0.0924247 * 290.40777 *         1 *
*      459 * 0.9493097 * 321.09649 *         1 *
*      460 * 0.5997803 * 748.63476 *         1 *
*      461 * -0.683150 * 225.43243 *         1 *
*      462 * 0.1326293 * 427.36294 *         1 *
*      463 * 0.4472512 * 424.24231 *         1 *
*      464 * 0.0352848 * 174.07283 *         1 *
*      465 * 0.9983578 * 268.72772 *         1 *
*      466 * 0.5959383 * 448.83361 *         1 *
*      467 * 0.5682565 * 290.06463 *         1 *
*      468 * 0.7830384 * 682.99743 *         1 *
*      469 * 0.6686269 * 552.34533 *         1 *
*      470 * -0.396822 * 179.37854 *         1 *
*      471 * 0.7421905 * 407.09469 *         1 *
*      472 * 0.7352631 * 273.12142 *         1 *
*      473 * 0.6504582 * 336.26287 *         1 *
*      474 * -0.040223 * 374.84292 *         1 *
*      475 * 0.1977711 * 322.96133 *         1 *
*      476 * -0.999263 * 274.90072 *         1 *
*      477 * 0.6548096 * 517.03997 *         1 *
*      478 * 0.6065024 * 390.59494 *         1 *
*      479 * 0.7742451 * 250.48129 *         1 *
*      480 * 0.7197384 * 384.25225 *         1 *
*      481 * 0.9973453 * 559.23468 *         1 *
*      482 * 0.9661970 * 602.20410 *         1 *
*      483 * 0.7888786 * 671.15387 *         1 *
*      484 * -0.363461 * 198.70103 *         1 *
*      485 * 0.8066831 * 702.40625 *         1 *
*      486 * 0.5799915 * 665.59368 *         1 *
*      487 * 0.6120626 * 783.68359 *         1 *
*      488 * 0.5433442 * 212.26223 *         1 *
*      489 * 0.9294465 * 522.91113 *         1 *
*      490 * 0.2946143 * 424.84497 *         1 *
*      491 * 0.9992879 * 959.25579 *         1 *
*      492 * 0.8508704 * 927.07745 *         1 *
*      493 * 0.5542744 * 541.46868 *         1 *
*      494 * 0.0752410 * 322.24819 *         1 *
*      495 * 0.5321021 * 226.62338 *         1 *
*      496 * 0.9547572 * 636.00708 *         1 *
*      497 * 0.6851481 * 366.17245 *         1 *
*      498 * -0.821338 * 176.18765 *         1 *
*      499 * 0.9776657 * 983.52716 *         1 *
*      500 * -0.152988 * 248.27407 *         1 *
*      501 * -0.847672 * 276.42831 *         1 *
*      502 * 0.3984134 * 245.88681 *         1 *
*      503 * 0.8105918 * 863.92559 *         1 *
*      504 * 0.3970969 * 289.14572 *         1 *
