************************************************
*    Row   *     el.UZ *      el.E *       wgt *
*      257 * 0.8245013 * 313.12735 * 0.6085374 *
*      258 * 0.7452484 * 569.44171 * 1.2799999 *
*      259 * 0.8618903 * 916.13049 * 0.9697859 *
*      260 * 0.3619926 * 590.70227 * 1.2799999 *
*      261 * 0.4268966 * 550.74005 * 0.9673179 *
*      262 * 0.7177464 * 529.95282 * 1.2799999 *
*      263 * -0.787445 * 309.96383 * 0.9695903 *
*      264 * -0.587892 * 296.95056 * 1.2799999 *
*      265 * 0.8430240 * 664.17053 * 0.9523627 *
*      266 * -0.278497 * 227.92227 * 1.2799999 *
*      267 * 0.4638531 * 232.48321 * 0.9690796 *
*      268 * 0.7437028 * 683.86975 * 1.2799999 *
*      269 * 0.8443482 * 693.62640 * 0.9675269 *
*      270 * 0.9580511 * 790.34002 * 0.9701260 *
*      271 * 0.2389449 * 227.93411 *         1 *
*      272 * 0.7680962 * 923.25885 * 0.9749221 *
*      273 * 0.5128409 * 572.20257 * 1.2799999 *
*      274 * 0.2577140 * 548.03900 * 1.2799999 *
*      275 * -0.254989 * 236.30314 * 1.2799999 *
*      276 * 0.9192782 * 829.23651 * 0.9703732 *
*      277 * 0.7817540 * 858.77722 * 0.9698207 *
*      278 * 0.9099512 * 340.02700 * 0.9713720 *
*      279 * -0.300813 * 266.04806 * 1.2799999 *
*      280 * 0.6844239 * 371.76126 * 1.2799999 *
*      281 * -0.146581 * 306.08599 * 1.2799999 *
*      282 * 0.9378132 * 839.24389 * 1.2799999 *
*      283 * 0.3043118 * 454.25106 * 1.2799999 *
*      284 * -0.071032 * 360.61669 * 1.2799999 *
*      285 * 0.8289424 * 468.15823 * 0.9699054 *
*      286 * 0.9535335 * 331.33651 * 1.2799999 *
*      287 * 0.6087575 * 574.01617 *         1 *
*      288 * 0.3669908 * 317.02679 * 0.9672043 *
*      289 * 0.7997426 * 693.56378 * 0.9676229 *
*      290 * 0.9558144 * 1119.0972 *         1 *
*      291 * 0.9230812 *  765.5177 * 1.2799999 *
*      292 * 0.8462059 * 768.47912 * 0.9692980 *
*      293 * 0.8144218 * 634.04187 *         1 *
*      294 * 0.3049722 * 306.04531 * 1.2799999 *
*      295 * 0.6662948 * 598.95684 * 1.2799999 *
*      296 * 0.7159614 * 872.44812 * 0.9656499 *
*      297 * 0.9475344 * 845.91235 * 1.2799999 *
*      298 * -0.239979 * 263.29565 * 1.2799999 *
*      299 * 0.9879345 * 970.11908 * 0.9700613 *
*      300 * 0.8221995 * 660.79534 *         1 *
*      301 * 0.8424107 * 988.79638 * 1.2799999 *
*      302 * 0.3871577 * 235.26292 *         1 *
